"Publication","Author Count"
"Replay Attack.","1"
"Modes of Operation of a Block Cipher.","1"
"Keystroke Logging.","0"
"Public-Key Authenticated Encryption.","0"
"Order.","1"
"Virtualization Security.","0"
"Claw-Free.","1"
"Nonrepudiation Protocol.","0"
"Preimage Resistance.","1"
"Uncoordinated Direct Sequence Spread Spectrum.","1"
"Identity Management.","1"
"Random Bit Generator.","1"
"Watermarking.","1"
"Zero-knowledge.","1"
"FEAL.","1"
"Secure Function Evaluation.","0"
"Hardware Security Module.","1"
"NTRUEncrypt.","0"
"Semantic Security.","1"
"Permissions.","1"
"Biometric Matching.","1"
"Synchronous Stream Cipher.","1"
"Policy Composition.","1"
"Quadratic Residuosity Problem.","1"
"SHA-0, SHA-1, SHA-2 (Secure Hash Algorithm).","1"
"Nonlinearity of Boolean Functions.","1"
"Macrodata Protection.","1"
"Berlekamp-Massey algorithm.","1"
"Csar Cipher.","1"
"Bolero.net.","1"
"Trusted Third Party.","1"
"Maliciously Modified Set of Administrative Tools.","0"
"DLP.","0"
"Weak Collision Resistance.","0"
"Vigen;re Encryption.","1"
"Microdata Protection.","1"
"Chosen Plaintext Attack.","1"
"Fault Attack.","1"
"Protection Rings.","1"
"Access Control Rules.","0"
"RC6.","1"
"Secure Audit Logs.","1"
"Decoding Algorithms.","1"
"Untraceability.","1"
"De Bruijn Sequence.","1"
"Information Theory.","1"
"Wiener, Boneh-Durfee, and May Attacks on the RSA Public Key Cryptosystem.","1"
"Dictionary Attack (I).","1"
"Substitution-Permutation (SP) Network.","1"
"Correcting-block attack.","1"
"One-Time Password.","1"
"Trust Anchor.","0"
"Prime Generation.","1"
"Resistance to the Standard Algebraic Attack.","0"
"Golomb'S Randomness Postulates.","1"
"Tempest.","1"
"Optimal Extension Fields (OEFs).","1"
"Binary Euclidean Algorithm.","1"
"Target Collision Resistant Hash Function.","0"
"Botnet Detection in Enterprise Networks.","1"
"Smart/Algorithmic Denial of Service.","0"
"Operational Separation of Duties.","0"
"Lattice Reduction.","1"
"Radio Interference Attack Defense.","0"
"Dynamic Program Analysis.","0"
"CPU Denial of Service.","1"
"Subscriber Identity Module.","0"
"Decentralized Trust Management.","0"
"Unlinkability.","1"
"Identity Authentication.","0"
"Authorization.","0"
"Extended Euclidean Algorithm.","0"
"Web Security.","0"
"Advanced Encryption Standard.","0"
"Applications of Formal Methods to Intrusion Detection.","1"
"Secure Shell.","0"
"Coprime.","0"
"Attributes management.","1"
"Sequences.","1"
"Physical Obfuscated Key.","0"
"DC Network.","1"
"Group Key Agreement.","1"
"Covert Channels.","1"
"Penmanship.","0"
"Microdata Anonymization Techniques.","0"
"Nonlinear Feedback Shift Register.","1"
"digital signature schemes.","1"
"Hand Geometry Verification.","0"
"Modes of Operation of a Block Cipher.","1"
"Adaptive Chosen Ciphertext Attack.","1"
"BLP Model.","0"
"Security Reduction.","1"
"Chinese Remainder Theorem.","1"
"Feistel Cipher.","1"
"Linear Consistency Attack.","1"
"Linear Syndrome Attack.","1"
"Fixed-Exponent Exponentiation.","1"
"Fermat Test.","0"
"Android's Security Framework-Understanding the Security of Mobile Phone Platforms.","1"
"Cramer-Shoup Public Key System.","1"
"Reed-Muller Codes.","1"
"Traffic Analysis.","1"
"Nearest Vector Problem.","0"
"Exhaustive Key Search.","1"
"Electronic Voting Schemes.","1"
"Product Cipher, Superencryption.","1"
"Undeniable Signatures.","1"
"Combination Generator.","1"
"Efficiency of Hyperelliptic Curve Cryptosystems.","0"
"Post-Quantum Cryptography.","1"
"Polynomial Time.","1"
"CEPS Standard.","1"
"Asymmetric Cryptosystem.","1"
"Nonrepudiation of Digital Signatures.","1"
"Macrodata Disclosure Protection.","0"
"Self-Synchronizing Stream Cipher.","1"
"Anti-DoS Cookies.","0"
"Maa.","1"
"Access Rights.","0"
"Group Signatures.","1"
"Multiple Encryption.","1"
"Algebraic Immunity of Boolean Functions.","1"
"Microdata Disclosure Limitation.","0"
"Threshold Homomorphic Cryptosystems.","1"
"Antivirus.","0"
"Web Initial Sign on.","0"
"Outbound Authentication.","0"
"Fermat's Little Theorem.","1"
"Smartcard Tamper Resistance.","1"
"Anonymity.","1"
"Propagation Characteristics of Boolean Functions.","1"
"Electronic Cheque.","1"
"Common Criteria, From a Security Policies Perspective.","1"
"Grbner Basis.","1"
"Existential Forgery.","1"
"Credential Verification.","0"
"Chosen Ciphertext Attack.","1"
"Cryptology.","1"
"Claw-Free.","1"
"Forgery.","1"
"Substitutions and Permutations.","1"
"Public Key Encryption.","0"
"Program Integrity Verification.","0"
"Security Evaluation Criteria.","1"
"Parallelizable Message Authentication Code.","0"
"Virus Protection.","1"
"Resynchronization Attack.","1"
"Information Theory.","1"
"Moore's Law.","1"
"A5/1.","1"
"Needham-Schroeder Protocols.","1"
"Davies-Meyer Hash Function.","1"
"Phenotyping.","1"
"Runtime Analysis.","0"
"Wiener, Boneh-Durfee, and May Attacks on the RSA Public Key Cryptosystem.","1"
"Trapdoor One-Way Function.","1"
"Trusted Platform Module.","1"
"Voice Recognition.","0"
"Information Flow Security.","0"
"POK.","0"
"Cryptosystem.","1"
"PKI.","1"
"BSP Board Support Package.","0"
"Registration Authority.","1"
"TWOFISH.","1"
"RSA Factoring Challenge.","1"
"Communication Channel Anonymity.","1"
"Hash-Based Message Authentication Code.","0"
"Fermat's Little Theorem.","1"
"Clock-Controlled Generator.","1"
"Probabilistic Public-Key Encryption.","1"
"Generator.","1"
"Protocol Cookies.","1"
"Electronic Wallet.","1"
"Identity-Based Encryption.","1"
"Commitment.","1"
"Modular Root.","1"
"Generalized Mersenne Prime.","1"
"Secure Coprocessor.","1"
"Correlation Attack for Stream Ciphers.","1"
"Exponentiation Algorithms.","1"
"Access Matrix.","1"
"Firewall Policy Analysis.","0"
"Pairing-Friendly Elliptic Curves.","1"
"Summation generator.","1"
"TCP SYN Cookies.","0"
"Rainbow Tables.","1"
"Right-to-Left Exponentiation.","1"
"Adaptive Chosen Plaintext and Chosen Ciphertext Attack.","1"
"Contract Signing.","1"
"Availability.","1"
"Protection.","0"
"Web SSO and Security Assertion Markup Language.","0"
"Tempest.","1"
"Blum-Blum-Shub Pseudorandom Bit Generator.","1"
"Smoothness.","1"
"GMR Signature.","1"
"Euclidean Lattice.","0"
"Access Structure.","1"
"NSS.","0"
"Authorizations.","1"
"SHA Family (Secure Hash Algorithm).","1"
"Universal One-Way Hash Functions.","1"
"Electronic Cash.","1"
"Intellectual Property.","0"
"Smartcard tamper resistance.","1"
"Multiprecision Squaring.","1"
"SEPA.","1"
"Electronic Check.","0"
"Stack (Buffer) Overrun.","0"
"Digital Steganography.","1"
"Public Key Proxy Encryption.","1"
"Multiset Attack.","1"
"Interactive Argument.","1"
"Social Perspectives on Information Privacy.","1"
"Chosen Ciphertext Attack.","1"
"Voiceprint Recognition.","0"
"HRU.","1"
"Signed Digit Exponentiation.","1"
"Authorizations management.","1"
"Exponential Time.","1"
"Nonsecret Encryption.","1"
"Group.","1"
"Electronic Cash.","1"
"DAC.","0"
"RIPEMD Family.","1"
"Correlation Immune and Resilient Boolean Functions.","1"
"Cryptosystem.","1"
"Modular Root.","1"
"Fail-Stop Signature.","1"
"Biometric Passport Security.","0"
"TCP SYN Flooding.","0"
"Cryptanalysis.","1"
"Biometric Recognition.","0"
"Authenticated Encryption.","1"
"PMAC.","1"
"Secure Computer System Model.","0"
"Identity Proof.","0"
"Keyboard Dynamics.","1"
"Derived Key.","1"
"PKIX - Public Key Infrastructure (X.509).","1"
"Biometric Authentication.","1"
"DC Network.","1"
"Integrated Circuit Card.","0"
"Secure Hash Algorithm.","0"
"Payment Card.","1"
"Random Bit Generator.","1"
"Rivest Cipher 5.","0"
"Relay Attack.","1"
"Electronic Postage.","1"
"Simultaneous Exponentiation.","1"
"Proof of Knowledge Versus Proof of Membership.","1"
"Pseudoprime.","1"
"Lattice Reduction.","1"
"Rivest Cipher 6.","0"
"Typing Patterns.","0"
"Public Key Proxy Signatures.","1"
"Number Field.","1"
"Maurer's Algorithm.","0"
"Authentication Token.","1"
"Computational Complexity.","1"
"Finite Field.","1"
"Multi-Exponentiation.","0"
"SWP.","1"
"Macrodata Disclosure Limitation.","0"
"Side-Channel Attacks.","1"
"Binary Functions.","0"
"Error-Correction Decoding.","0"
"Feige-Fiat-Shamir Signature Scheme.","0"
"Secure Data Outsourcing: A Brief Overview.","1"
"Signcryption.","1"
"ID-Based Encryption.","0"
"Authorization Policy.","1"
"History-Based Separation of Duties.","0"
"GCM.","0"
"Memory and State Exhaustion Denial of Service.","1"
"Rank Codes.","1"
"Linear Complexity.","1"
"Sieving in Function Fields.","1"
"Talker Recognition.","0"
"Run-Time Malware Analysis.","0"
"PEM, Privacy-Enhanced Mail.","1"
"Nyberg-Rueppel Signature Scheme.","1"
"False Data Filtering.","0"
"ElGamal Public Key Encryption.","1"
"Computational Complexity.","1"
"Deniable Encryption.","1"
"Pseudonyms.","1"
"Sliding Window Exponentiation.","1"
"Human Ear Biometrics.","0"
"Typing Dynamics.","0"
"Reference Monitor.","1"
"HTTP Cookie.","0"
"Elliptic Curves for Primality Proving.","1"
"PMAC.","1"
"Sensor Key Establishment and Maintenance.","0"
"Luby-Rackoff Ciphers.","1"
"Password.","1"
"Mix Networks.","1"
"Boomerang Attack.","1"
"Cross-Correlation.","1"
"Feistel Cipher.","1"
"Nonsecret Encryption.","1"
"Quadratic Sieve.","1"
"Diffie-Hellman Key Exchange.","0"
"Salt.","1"
"Zeroization.","1"
"Voice Biometrics.","0"
"Interactive Proof Systems.","0"
"Group Key Distribution.","0"
"Ciphertext-Only Attack.","1"
"Primality Proving Algorithm.","1"
"Schemes Based on Rank Codes.","1"
"Dictionary Attack (I).","1"
"Related Key Attack.","1"
"Smoothness.","1"
"Broadcast Encryption.","1"
"Number Field.","1"
"Diffie-Hellman Problem.","0"
"FPGAs in Cryptography.","1"
"Related Key Attack.","1"
"Secure Logging.","0"
"Order.","1"
"Hash-Based Signatures.","1"
"Luby-Rackoff Ciphers.","1"
"Three-Factor Authentication.","1"
"Zeta Function Computation.","0"
"Generator.","1"
"E0 (Bluetooth).","1"
"Blinding Techniques.","1"
"Ring.","1"
"DPA.","0"
"SPKI/SDSI.","1"
"Side-Channel Attacks.","1"
"Chaum Blind Signature Scheme.","1"
"Tamper Response.","1"
"Universal Integrated Circuit Card.","0"
"Interactive Proof.","1"
"Miller-Rabin Probabilistic Primality Test.","1"
"MD4 Hash Function.","0"
"GMAC.","1"
"TCP Reset Injection.","1"
"False Data Injection Defense.","1"
"Multiparty Computation (MPC).","0"
"Credentials.","1"
"Field.","1"
"Eavesdropper.","1"
"Shannon's Model.","1"
"Alberti encryption.","1"
"RBAC.","0"
"Stack (Buffer) Overflow.","0"
"Bytecode Verification.","1"
"Applications of Formal Methods to Web Application Security.","1"
"SERPENT.","1"
"Electronic Purse.","0"
"MPKC.","0"
"Watermarking.","1"
"Certificate Management.","1"
"Secure Socket Layer (SSL).","1"
"Conference Key Agreement.","0"
"Bank Card.","0"
"Symmetric Cryptosystem.","1"
"Certificate Revocation.","1"
"Genetic Code.","0"
"Web Browser Security and Privacy.","1"
"Pseudorandom Function.","1"
"Temporal Access Control.","1"
"Cascade Revoke.","0"
"Kerberos Authentication Protocol.","1"
"Firewalls.","1"
"Remote Attestation.","0"
"compromising emanations.","1"
"Noninteractive Proof.","1"
"Overlay-Based DoS Defenses.","1"
"Formal Analysis of Security APIs.","1"
"Inversion Attack.","1"
"Bell-LaPadula Confidentiality Model.","1"
"Threshold Signature.","1"
"Impossible Differential Attack.","1"
"Greatest Common Divisor.","1"
"Biba Mandatory Integrity Policy.","0"
"MD4-MD5.","1"
"Physical Unclonable Functions (PUFs).","1"
"Formal Analysis of Cryptographic Protocols.","1"
"Modulus.","1"
"O-Notation.","1"
"Minimal Privilege.","0"
"Biometric Identification in Video Surveillance.","0"
"Platform for Privacy Preferences (P3P).","1"
"Chroot Prison.","0"
"Anonymity in Data Mining.","0"
"Strong Prime.","1"
"Linear Syndrome Attack.","1"
"Nym.","0"
"Denial of Service.","1"
"Key escrow.","1"
"Space-Time Trade-Off.","0"
"IPSec Policy Analysis.","0"
"Location Privacy in Wireless Networks.","1"
"Secure signatures from the ""strong RSA"" assumption.","1"
"ISO 19790 2006 Security Requirements for Cryptographic Modules.","0"
"Rank-Matric Codes.","0"
"Lattice.","1"
"Selective Forgery.","1"
"Computational Diffie-Hellman Problem.","1"
"Ciphertext-Only Attack.","1"
"Dictionary Attack (II).","1"
"TCP Modulation Attacks.","1"
"Key management.","1"
"Number Field Sieve.","0"
"Electronic Postage.","1"
"Big Number Squaring.","0"
"Certified Mail.","1"
"Spyware.","1"
"Certificate Management.","1"
"Password.","1"
"Autocorrelation.","1"
"Nonlinearity of Boolean Functions.","1"
"Attack by Summation Over an Hypercube.","0"
"Network Flooding Attack.","0"
"Radiometrics.","0"
"Code-Based Cryptography.","1"
"Group.","1"
"M-Invariance.","1"
"Lamport One-Time Signatures.","0"
"Policy.","1"
"Identification.","1"
"Secure Signatures from the ""Strong RSA"" Assumption.","1"
"Web 2.0 Security and Privacy.","1"
"Strong Authentication.","0"
"Broadcast Encryption.","1"
"XML-Based Access Control Languages.","1"
"Boolean Functions.","1"
"Random Oracle Model.","1"
"Header Injections.","0"
"Self-Shrinking Generator.","1"
"Hybrid Encryption.","1"
"Identity-Based Encryption.","1"
"Propagation Characteristics of Boolean Functions.","1"
"Pseudorandom Function.","1"
"Kerckhoffs' Principle.","1"
"Factor Base.","1"
"Beaufort Encryption.","1"
"Homomorphism.","1"
"Exponential Key Exchange.","0"
"Fermat Primality Test.","1"
"Web Security Auditing.","1"
"Source Location Privacy.","1"
"Codebook Attack.","1"
"Chemical Combinatorial Attack.","1"
"Hash Chain.","1"
"Challenge-Response Identification.","1"
"Keystream.","0"
"Recipient Anonymity.","1"
"Biometric Key Generation.","0"
"Record Linkage.","0"
"Mersenne Prime.","1"
"Sealed Storage.","1"
"Triple DES.","1"
"Timing attack.","1"
"Alphabet.","1"
"RC4.","1"
"Fair Exchange.","1"
"Recursive Revoke.","1"
"Node Clone Defense.","1"
"Random Key Predistribution.","0"
"ISO/IEC 27001.","0"
"Transport layer security (TLS).","1"
"Shannon's Maxim.","0"
"Chosen Plaintext and Chosen Ciphertext Attack.","1"
"Project Athena.","0"
"Interactive Proof.","1"
"Response.","1"
"Fermat Primality Test.","1"
"Web Initial Authentication.","0"
"Run.","1"
"Memory Overflow.","0"
"Strong Prime.","1"
"Wiretapping.","0"
"GMR Signature.","1"
"Trojan Horses, Computer Viruses and Worms.","1"
"Standard Basis.","0"
"Credential-Based Access Control.","1"
"Access Control.","1"
"Data Remanence.","1"
"Euler's Totient Function.","1"
"Secret Key Cryptosystem.","0"
"RC5.","1"
"Cut-and-Choose Protocol.","1"
"Clip Scheme.","1"
"Group Signatures.","1"
"Penetration Testing.","1"
"Reverse Engineering of Malware Emulators.","1"
"Cyclic Codes.","1"
"Cryptographic Algorithm Evaluation.","0"
"Salt.","1"
"Firewall.","1"
"Certificate-Based Access Control.","0"
"Microdata Masking Techniques.","1"
"Group Key Exchange.","0"
"Replay Attack.","1"
"Modes of Operation of a Block Cipher.","1"
"Keystroke Logging.","0"
"Public-Key Authenticated Encryption.","0"
"Order.","1"
"Virtualization Security.","0"
"Claw-Free.","1"
"Nonrepudiation Protocol.","0"
"Preimage Resistance.","1"
"Uncoordinated Direct Sequence Spread Spectrum.","1"
"Identity Management.","1"
"Random Bit Generator.","1"
"Watermarking.","1"
"Zero-knowledge.","1"
"FEAL.","1"
"Secure Function Evaluation.","0"
"Hardware Security Module.","1"
"NTRUEncrypt.","0"
"Semantic Security.","1"
"Permissions.","1"
"Biometric Matching.","1"
"Synchronous Stream Cipher.","1"
"Policy Composition.","1"
"Quadratic Residuosity Problem.","1"
"SHA-0, SHA-1, SHA-2 (Secure Hash Algorithm).","1"
"Nonlinearity of Boolean Functions.","1"
"Macrodata Protection.","1"
"Berlekamp-Massey algorithm.","1"
"Csar Cipher.","1"
"Bolero.net.","1"
"Trusted Third Party.","1"
"Maliciously Modified Set of Administrative Tools.","0"
"DLP.","0"
"Weak Collision Resistance.","0"
"Vigenre Encryption.","1"
"Microdata Protection.","1"
"Chosen Plaintext Attack.","1"
"Fault Attack.","1"
"Protection Rings.","1"
"Access Control Rules.","0"
"RC6.","1"
"Secure Audit Logs.","1"
"Decoding Algorithms.","1"
"Untraceability.","1"
"De Bruijn Sequence.","1"
"Information Theory.","1"
"Wiener, Boneh-Durfee, and May Attacks on the RSA Public Key Cryptosystem.","1"
"Dictionary Attack (I).","1"
"Substitution-Permutation (SP) Network.","1"
"Correcting-block attack.","1"
"One-Time Password.","1"
"Trust Anchor.","0"
"Prime Generation.","1"
"Resistance to the Standard Algebraic Attack.","0"
"Golomb'S Randomness Postulates.","1"
"Tempest.","1"
"Optimal Extension Fields (OEFs).","1"
"Binary Euclidean Algorithm.","1"
"Target Collision Resistant Hash Function.","0"
"Botnet Detection in Enterprise Networks.","1"
"Smart/Algorithmic Denial of Service.","0"
"Operational Separation of Duties.","0"
"Lattice Reduction.","1"
"Radio Interference Attack Defense.","0"
"Dynamic Program Analysis.","0"
"CPU Denial of Service.","1"
"Subscriber Identity Module.","0"
"Decentralized Trust Management.","0"
"Unlinkability.","1"
"Identity Authentication.","0"
"Authorization.","0"
"Extended Euclidean Algorithm.","0"
"Web Security.","0"
"Advanced Encryption Standard.","0"
"Applications of Formal Methods to Intrusion Detection.","1"
"Secure Shell.","0"
"Coprime.","0"
"Attributes management.","1"
"Sequences.","1"
"Physical Obfuscated Key.","0"
"DC Network.","1"
"Group Key Agreement.","1"
"Covert Channels.","1"
"Penmanship.","0"
"Microdata Anonymization Techniques.","0"
"Nonlinear Feedback Shift Register.","1"
"digital signature schemes.","1"
"Hand Geometry Verification.","0"
"Modes of Operation of a Block Cipher.","1"
"Adaptive Chosen Ciphertext Attack.","1"
"BLP Model.","0"
"Security Reduction.","1"
"Chinese Remainder Theorem.","1"
"Feistel Cipher.","1"
"Linear Consistency Attack.","1"
"Linear Syndrome Attack.","1"
"Fixed-Exponent Exponentiation.","1"
"Fermat Test.","0"
"Android's Security Framework-Understanding the Security of Mobile Phone Platforms.","1"
"Cramer-Shoup Public Key System.","1"
"Reed-Muller Codes.","1"
"Traffic Analysis.","1"
"Nearest Vector Problem.","0"
"Exhaustive Key Search.","1"
"Electronic Voting Schemes.","1"
"Product Cipher, Superencryption.","1"
"Undeniable Signatures.","1"
"Combination Generator.","1"
"Efficiency of Hyperelliptic Curve Cryptosystems.","0"
"Post-Quantum Cryptography.","1"
"Polynomial Time.","1"
"CEPS Standard.","1"
"Asymmetric Cryptosystem.","1"
"Nonrepudiation of Digital Signatures.","1"
"Macrodata Disclosure Protection.","0"
"Self-Synchronizing Stream Cipher.","1"
"Anti-DoS Cookies.","0"
"Maa.","1"
"Access Rights.","0"
"Group Signatures.","1"
"Multiple Encryption.","1"
"Algebraic Immunity of Boolean Functions.","1"
"Microdata Disclosure Limitation.","0"
"Threshold Homomorphic Cryptosystems.","1"
"Antivirus.","0"
"Web Initial Sign on.","0"
"Outbound Authentication.","0"
"Fermat's Little Theorem.","1"
"Smartcard Tamper Resistance.","1"
"Anonymity.","1"
"Propagation Characteristics of Boolean Functions.","1"
"Electronic Cheque.","1"
"Common Criteria, From a Security Policies Perspective.","1"
"Grbner Basis.","1"
"Existential Forgery.","1"
"Credential Verification.","0"
"Chosen Ciphertext Attack.","1"
"Cryptology.","1"
"Claw-Free.","1"
"Forgery.","1"
"Substitutions and Permutations.","1"
"Public Key Encryption.","0"
"Program Integrity Verification.","0"
"Security Evaluation Criteria.","1"
"Parallelizable Message Authentication Code.","0"
"Virus Protection.","1"
"Resynchronization Attack.","1"
"Information Theory.","1"
"Moore's Law.","1"
"A5/1.","1"
"Needham-Schroeder Protocols.","1"
"Davies-Meyer Hash Function.","1"
"Phenotyping.","1"
"Runtime Analysis.","0"
"Wiener, Boneh-Durfee, and May Attacks on the RSA Public Key Cryptosystem.","1"
"Trapdoor One-Way Function.","1"
"Trusted Platform Module.","1"
"Voice Recognition.","0"
"Information Flow Security.","0"
"POK.","0"
"Cryptosystem.","1"
"PKI.","1"
"BSP Board Support Package.","0"
"Registration Authority.","1"
"TWOFISH.","1"
"RSA Factoring Challenge.","1"
"Communication Channel Anonymity.","1"
"Hash-Based Message Authentication Code.","0"
"Fermat's Little Theorem.","1"
"Clock-Controlled Generator.","1"
"Probabilistic Public-Key Encryption.","1"
"Generator.","1"
"Protocol Cookies.","1"
"Electronic Wallet.","1"
"Identity-Based Encryption.","1"
"Commitment.","1"
"Modular Root.","1"
"Generalized Mersenne Prime.","1"
"Secure Coprocessor.","1"
"Correlation Attack for Stream Ciphers.","1"
"Exponentiation Algorithms.","1"
"Access Matrix.","1"
"Firewall Policy Analysis.","0"
"Pairing-Friendly Elliptic Curves.","1"
"Tamper Response.","1"
"Kasumi/Misty1.","1"
"Skipjack.","1"
"OAEP: Optimal Asymmetric Encryption Padding.","1"
"Ring.","1"
"Skipjack.","1"
"Mondex.","1"
"Product Cipher, Superencryption.","1"
"Interactive Theorem Proving and Security.","0"
"Subgroup Cryptosystems.","0"
"HTTP Authentication.","1"
"IC Integrated Circuit.","0"
"Cut-and-choose protocol.","1"
"Attestation.","1"
"Simultaneous Transactions.","0"
"Oblivious Transfer.","1"
"CMAC.","1"
"Location Information (Privacy of).","1"
"Subgroup.","1"
"FIPS 140-2.","1"
"SHA.","0"
"Strong RSA Assumption.","1"
"CDL-A compiler implementation language.","1"
"Polymorphic Typing for Call-by-Name Semantics.","1"
"Bending without Breaking: Making Software More Flexible: Extended Abstract.","1"
"A Software Composition Language and Its Implementation.","1"
"The Common Framework Initiative for Algebraic Specification and Development of Software.","1"
"A Complete Invariant Generation Approach for P-solvable Loops.","1"
"An Associative Version of the Prim-Dijkstra Algorithm and Its Application to Some Graph Problems.","1"
"Maximally-Polyvariant Partial Evaluation in Polynomial Time.","1"
"Language Tools and Programming Systems in Educational Informatics.","1"
"An Automatic Technique for Static Deadlock Prevention.","1"
"Information-Flow Attacks Based on Limited Observations.","1"
"How does algebra help to solve problems from the theory of algorithms (an example).","1"
"Hierarchical Constraint Satisfaction Based on Subdefinite Models.","1"
"Distributed Embedded Systems: Reconciling Computation, Communication and Resource Interaction.","1"
"A Compositional Semantics of Combining Forms for Gramma Programs.","1"
"Solving Coverability Problem for Monotonic Counter Systems by Supercompilation.","1"
"What is the Logic of Computational Tasks?","1"
"Recent Advances in S-Definability over Continuous Data Types.","1"
"On the experience of riding two horses in programming.","1"
"Communication as Unification in Process Algebras: Operational Semantics (Invited Paper).","1"
"Transformational Construction of Correct Pointer Algorithms.","1"
"A Mode Analysis of Logic Programs by Abstract Interpretation.","1"
"Equivalence and optimization of programs.","1"
"Central technical issues in programming language design.","1"
"Event-Driven Traversal of Logic Circuits for Re-evaluation of Boolean Functions in Reactive Systems.","1"
"The Language Lola, FPGAs and PLDs in Teaching Digital Circuit Design.","1"
"Justified Terminological Reasoning.","1"
"On the Power of Recursion in Dataflow Schemes.","1"
"Characterizations of CD Grammar Systems Working in Competence Mode by Multicounter Machine Resources.","1"
"Generic Programming (Abstract).","1"
"Pragmatics in a complier production system.","1"
"Algebraic Calculation of Graph and Sorting Algorithms (Invited Paper).","1"
"On inductive synthesis of programs.","1"
"Procedure implementation in a multi-language translator.","1"
"Proofs-as-Imperative-Programs: Application to Synthesis of Contracts.","1"
"Algebraic State Machines: Concepts and Applications to Security.","1"
"Specifying and Verifying Programs in Spec#.","1"
"Compositional Style of Programming FPGAs.","1"
"An approach to the automation of constructing multilanguage translating systems.","1"
"A method for determining program data relationships.","1"
"Local- termal equivalence of program schemata.","1"
"A Verification Approach for Distributed Abstract State Machines.","1"
"Extracting the Essence of Distillation.","1"
"Polymorphism in OBJ-P.","1"
"Theory of Domains and Nearby (Invited Paper).","1"
"The Verifying Compiler: A Grand Challenge for Computing Research.","1"
"Expanding constructive universes.","1"
"Late Adaptation of Method Invocation Semantics.","1"
"Rapid Instruction Decoding for IA-32.","1"
"Gentzen Style Systems for K45 and K45D.","1"
"On Algorithmic Unsolvability.","1"
"Non- determined algorithm schemata or R- schemata.","1"
"Efficient chaotic iteration strategies with widenings.","1"
"Prototype of a Run-Time Adaptable, Object-Oriented System.","1"
"Using Agents for Concurrent Querying of Web-Like Databases via a Hyper-Set-Theoretic Approach.","1"
"End-to-End Guarantees in Embedded Control Systems - (Abstract).","1"
"Some feature of a language for a proof- checking programming system.","1"
"Process Opacity for Timed Process Algebra.","1"
"On synthesizing programs given by examples.","1"
"The logical approach to programming.","1"
"Semantic unification in a multi-language compiler.","1"
"Twin - A Design Pattern for Modeling Multiple Inheritance.","1"
"A Fully Dynamic Algorithm for Recognizing and Representing Chordal Graphs.","1"
"Observational Logic and Process Semantics (Abstract).","1"
"Distributed In Situ Processing of Big Raster Data in the Cloud.","1"
"Linear Time Self-Interpretation of the Pure Lambda Calculus.","1"
"Fixpoints Revisited.","1"
"RSSA: A Reversible SSA Form.","1"
"Models of Provenance - (Abstract).","1"
"DIXIT Algorizmi - His Background, his Personality, his Work, and his Influence.","1"
"Safe Executions of Recognizable Trace Languages by Asynchronous Automata.","1"
"Predicative Programming - A Survey.","1"
"On the Visualization and Aesthetics of Large Graphs: Short Abstract.","1"
"Semantic attributes processing in the system DELTA.","1"
"Process in Cause-Effect Structures.","1"
"Metalanguage for formal definition of semantics of programming languages.","1"
"On finding invariant relations of programs.","1"
"BURS-Based Instruction Set Selection.","1"
"Static Binary Code Instrumentation for ARM Architecture.","1"
"On formal transformations of algorithms.","1"
"Quantitative Analysis of Collective Adaptive Systems.","1"
"A programming system with automatic program synthesis.","1"
"Hierarchical Cause-Effect Structures.","1"
"Almost Top-Down Analysis for generalized LR(K) Grammars.","1"
"The Making of Algol 68.","1"
"Scalable Parallel Interval Propagation for Sparse Constraint Satisfaction Problems.","1"
"Certain decompositions of Gdel numbering and the semantics of programming languages.","1"
"Saturation Replaces Induction for a Miniscoped Linear Temporal Logic.","1"
"Analysis of Some Semantic Properties for Programs of the Applicative Language AL.","1"
"Some automatic transformations of CF-Grammars.","1"
"Hermes: A Reversible Language for Writing Encryption Algorithms (Work in Progress).","1"
"On Euler numbers and Euler polynomial roots.","1"
"The Definition of Transitive Closure with OCL - Limitations and Applications.","1"
"Exponential Acceleration of Model Checking for Perfect Recall Systems.","1"
"An Investigation of Compact and Efficient Number Representations in the Pure Lambda Calculus.","1"
"On A Class of Unoids.","1"
"Space Considerations in Prolog.","1"
"Multi-objective Solution of Traveling Salesman Problem with Time.","1"
"Machine Learning and Big Data Processing: A Technological Perspective and Review.","1"
"Learning Hierarchical Features Using Sparse Self-organizing Map Coding for Image Classification.","1"
"Trained Neural Networks Ensembles Weight Connections Analysis.","1"
"Harnessing the Power of Big Data in Science.","1"
"Improving Arabic Tokenization and POS Tagging Using Morphological Analyzer.","1"
"Effect of Photo Voltaic Panel on Power Generation by Manual Adjustment with Panel Angle.","1"
"Visual Browsing of Large Image Databases.","1"
"Machine Learning Techniques for Fingerprint Identification: A Short Review.","1"
"Parameterised Fuzzy Petri Nets for Approximate Reasoning in Decision Support Systems.","1"
"A New Image Watermarking Technique in Spatial Domain Using DC Coefficients and Graph Representation.","1"
"Towards Smart Egypt - The Role of Large Scale WSNs.","1"
"Predictive Control of Superheated Steam Temperature of Molten Salt Heat Storage System.","1"
"Role of Robotic Process Automation in Pharmaceutical Industries.","1"
"Kaostan D  zene: Yaz  l  m Projelerinde Hasar Kontrol  .","1"
"Yaz  l  m Kalite G  vence'de Ara Tasar  m De  erlendirme Yakla?  m  .","1"
